,,,,,SCF,,,
?,? ,?, ?,  ?,Chord saddle,Chord crown,Brace saddle,Brace crown
35.00,0.62,0.65,28.00,1.57,18.83,5.68,15.29,2.25
29.00,0.43,0.76,8.00,1.57,6.42,4.72,5.66,3.30
13.00,0.66,0.43,29.00,1.57,12.05,2.31,11.56,1.23
11.00,0.23,0.99,18.00,1.57,15.27,6.18,9.68,3.09
20.00,0.56,0.86,27.00,1.57,25.28,5.44,16.50,1.88
27.00,0.58,0.68,15.00,1.57,10.79,4.60,8.94,2.83
13.00,0.93,0.35,27.00,1.57,5.15,2.14,5.78,1.33
8.00,0.54,0.71,15.00,1.57,11.41,2.92,8.31,2.13
37.00,0.49,0.36,9.00,1.57,3.24,2.65,4.75,3.09
30.00,0.55,0.74,8.00,1.57,6.36,4.86,5.65,3.39
7.00,0.77,0.40,24.00,1.57,8.08,1.67,7.91,1.35
11.00,0.73,0.93,19.00,1.57,17.15,4.32,10.38,1.81
34.00,0.58,0.82,10.00,1.57,8.84,6.09,7.05,3.58
40.00,0.43,0.89,28.00,1.57,26.74,7.69,18.40,2.90
15.00,0.46,0.81,27.00,1.57,23.54,4.71,15.67,1.88
36.00,0.23,0.31,28.00,1.57,6.62,2.56,9.32,3.36
30.00,0.70,0.90,25.00,1.57,22.55,7.40,14.82,2.60
37.00,0.43,0.29,23.00,1.57,6.40,2.35,9.08,2.39
12.00,0.97,0.27,20.00,1.57,2.38,1.55,3.57,1.83
25.00,0.67,0.33,8.00,1.57,2.46,2.05,3.91,2.90
30.00,0.84,0.68,9.00,1.57,4.73,5.56,4.52,3.57
10.00,0.33,0.45,29.00,1.57,12.07,2.72,11.41,2.30
24.00,0.36,0.42,25.00,1.57,9.95,2.91,10.73,2.46
16.00,0.95,0.81,24.00,1.57,10.57,5.51,6.94,1.84
7.00,0.30,0.85,30.00,1.57,24.21,5.16,14.91,2.41
20.00,0.40,0.32,20.00,1.57,6.09,1.98,7.90,2.41
16.00,0.23,0.38,15.00,1.57,4.44,2.39,5.71,3.12
39.00,0.55,0.54,10.00,1.57,5.62,4.32,6.04,3.35
35.00,0.60,0.25,23.00,1.57,5.46,2.11,8.38,2.05
13.00,0.50,0.81,19.00,1.57,16.71,4.13,11.32,2.15
